code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
049180,셀루메드,KOSDAQ,2025-10-27,202506,202503,1,16.4,24.3,False,7.3,N/A(적자),4.41,0.26,370.4,30.19,-7.6,6.68,상승추세,1437.0,2.31,0.81,17.6,0.34,6,10.0,33.5,211,4,40
017510,세명전기,KOSDAQ,2025-05-26,202503,202412,82,158.3,-49.3,False,61.5,17.2,1.17,6.05,1058.1,38.8,1015.9,0.0,하락추세,1364.7,2.24,1.16,77.0,0.34,9,7.7,85.3,2599,2,41
00104K,CJ4우(전환),KOSPI,2025-04-14,202412,202409,64,None,None,False,None,N/A(이력부족),0.59,None,3985.4,None,None,None,하락추세,1419.1,4.2,0.5,88.5,1.06,5,6.0,28.9,None,None,None
408920,메쎄이상,KOSDAQ,2025-06-10,202503,202412,59,3.2,176.4,False,10.3,7.3,1.23,1.46,996.5,82.79,351.4,0.0,중립,1353.8,0.21,0.04,90.2,0.69,8,1.5,16.8,759,1,4
153460,네이블,KOSDAQ,2026-03-31,202512,202509,31,-73.1,340.3,False,-29.7,16.0,1.13,2.13,408.1,70.78,-108.2,0.0,중립,1516.1,0.03,0.03,76.2,0.19,23,17.5,None,58222,8,23
084650,랩지노믹스,KOSDAQ,2026-04-09,202512,202509,5,-231.3,-30.6,False,-5.4,N/A(적자),0.6,1.03,904.2,16.69,-411.3,0.0,중립,1477.6,6.66,5.19,39.0,0.54,23,14.6,None,70113,3,24
122640,예스티,KOSDAQ,2026-01-16,202509,202506,85,113.1,25.0,True,-19.8,59.2,2.74,3.99,3725.5,25.56,398.3,2.01,상승추세,1468.8,2.52,1.24,82.7,0.66,6,9.1,148.5,29271,5,26
475560,더본코리아,KOSPI,2026-05-15,202603,202512,14,None,-73.8,True,None,N/A(적자),1.15,0.79,2839.6,73.6,-1956.0,0.62,상승추세,1493.3,0.34,-0.2,64.7,1.49,17,9.0,None,468,1,32
028670,팬오션,KOSPI,2025-11-28,202509,202506,52,-55.5,11.7,False,-0.6,9.2,0.35,0.36,20153.3,54.92,1264.9,0.0,상승추세,1461.4,14.48,1.62,87.8,0.46,22,6.1,25.8,50112,1,59
363260,모비데이즈,KOSDAQ,2026-05-15,202603,202512,17,-130.0,7.4,False,-13.9,19.5,1.08,1.01,433.2,49.51,706.3,0.0,중립,1493.3,2.24,-0.07,61.1,1.35,16,8.1,None,713,1,6
162300,신스틸,KOSDAQ,2026-03-04,202512,202509,14,-78.5,-80.3,True,-18.8,45.1,0.71,0.18,616.7,71.27,382.6,0.0,중립,1483.1,0.51,-0.22,56.0,1.02,23,5.2,None,241,1,18
418550,제이오,KOSDAQ,2026-01-21,202509,202506,4,81.2,-1633.3,False,-22.0,N/A(적자),1.3,3.93,2382.1,None,-153.3,0.0,상승추세,1477.8,2.51,1.01,49.0,1.38,24,16.1,None,721,1,32
378800,샤페론,KOSDAQ,2026-05-15,202603,202512,5,34.2,36.6,False,454.1,N/A(적자),2.7,237.77,669.1,None,-313.6,53.41,중립,1493.3,2.26,0.64,38.1,1.42,17,17.4,None,211,4,18
001780,알루코,KOSPI,2026-01-28,202509,202506,48,800.0,-152.6,False,-21.2,18.2,0.66,0.36,2154.5,46.81,451.3,0.0,상승추세,1432.5,2.29,-0.02,84.6,1.33,5,1.8,24.9,24222,4,70
290650,엘앤씨바이오,KOSDAQ,2025-06-20,202503,202412,91,-123.8,4368.7,False,7.4,4.7,3.58,9.81,7188.7,31.66,-348.0,8.53,상승추세,1374.9,9.82,0.6,90.1,1.88,16,14.9,70.6,212,6,14
215600,신라젠,KOSDAQ,2025-11-03,202506,202503,69,37.5,26.5,True,196.5,N/A(적자),3.56,61.5,3916.0,15.85,-129.1,0.56,상승추세,1427.2,2.24,-0.07,68.8,0.57,24,13.3,75.4,70113,3,19
008355,남선알미우,KOSPI,2025-12-11,202509,202506,12,-143.9,-24.2,False,-11.7,N/A(적자),5.54,5.85,15696.0,30.0,120.8,0.0,상승추세,1469.0,0.21,-0.02,56.8,0.28,11,2.3,None,24222,4,52
035600,KG이니시스,KOSDAQ,2025-04-11,202412,202409,36,-65.3,-105.8,False,-14.9,5.3,0.44,0.17,2278.8,40.9,300.7,-1.25,하락추세,1452.0,5.65,-4.16,68.9,0.76,23,6.9,None,58221,8,27
001570,금양,KOSPI,2025-03-21,202412,202409,1,35.7,-399.2,False,-6.9,N/A(적자),1.38,4.12,6332.8,26.55,-318.1,10.19,중립,1465.8,5.12,-3.95,7.6,1.4,15,55.5,None,201,4,70
095910,에스에너지,KOSDAQ,2026-02-02,202509,202506,27,-965.4,343.3,False,-31.1,N/A(적자),0.93,0.24,300.5,15.7,725.8,16.59,상승추세,1448.8,1.91,1.57,61.7,0.27,4,4.9,37.7,2811,1,25
007070,GS리테일,KOSPI,2026-03-09,202512,202509,63,-65.2,299.3,False,1.9,34.3,0.47,0.13,15433.9,58.62,11226.1,0.0,상승추세,1483.9,12.4,3.33,78.4,0.66,18,20.6,54.6,47122,3,55
017860,DS단석,KOSPI,2026-03-04,202512,202509,8,0.2,47.5,False,5.7,N/A(적자),1.02,0.29,2744.9,40.08,1081.5,0.0,상승추세,1483.1,1.9,1.58,50.1,1.88,19,9.8,None,204,3,42
012630,HDC,KOSPI,2025-03-26,202412,202409,97,48.2,-43.1,False,8.2,4.8,0.24,0.13,8316.0,41.96,8519.3,0.0,중립,1462.1,19.24,2.08,95.3,1.99,8,3.2,29.4,649,4,48
018000,유니슨,KOSDAQ,2025-04-02,202412,202409,75,74.2,11.1,False,-79.3,N/A(적자),2.18,6.16,1584.6,9.21,-13.9,33.23,하락추세,1470.0,1.88,1.09,76.3,14.64,23,10.5,27.8,29119,4,41
009680,모토닉,KOSPI,2025-04-09,202412,202409,87,31.6,-15.1,False,22.7,6.0,0.4,0.86,2504.9,38.83,867.6,-15.0,하락추세,1486.1,9.39,-1.04,94.1,0.73,21,5.1,11.6,303,2,51
452450,피아이이,KOSDAQ,2025-02-04,202409,202406,None,None,None,False,None,N/A(이력부족),2.79,None,1563.8,None,None,11.54,하락추세,1459.1,0.03,0.0,100.0,None,0,0.0,None,29299,5,7
047400,유니온머티리얼,KOSPI,2025-10-01,202506,202503,7,-1350.0,107.8,False,-10.0,N/A(적자),2.78,0.52,544.7,40.0,307.8,0.0,상승추세,1403.2,1.2,1.05,50.8,0.54,24,14.8,None,23222,1,25
079980,휴비스,KOSPI,2025-04-09,202412,202409,30,-32.4,-60.3,False,2.0,N/A(적자),0.31,0.09,802.1,51.0,-581.7,0.0,하락추세,1486.1,1.99,-1.2,58.0,1.52,11,10.5,None,20501,2,25
073240,금호타이어,KOSPI,2025-11-19,202509,202506,71,-6.5,-101.2,False,-0.1,5.8,0.73,0.31,14851.4,None,1809.9,0.0,상승추세,1456.6,8.6,0.41,93.5,0.68,2,2.8,29.4,221,1,22
456160,지투지바이오,KOSDAQ,2025-08-14,202506,202503,None,20.2,43.8,False,90.0,N/A(적자),8.8,464.72,1677.7,20.5,-1485.0,261.68,상승추세,1378.8,1.29,0.0,100.0,None,0,0.0,None,21212,6,8
032860,더라미,KOSDAQ,2026-05-15,202603,202512,14,-282.5,-881.8,False,-28.3,N/A(적자),0.78,1.02,410.8,53.05,-52.7,0.0,중립,1493.3,0.51,-0.02,53.2,0.88,9,25.2,None,383,1,40
004545,깨끗한나라우,KOSPI,2026-05-11,202512,202509,12,-654.8,41.8,False,-155.6,N/A(적자),2.08,None,3519.2,40.03,-57.1,0.0,상승추세,1460.6,3.84,0.25,65.5,4.34,12,5.7,None,171,1,60
002990,금호건설,KOSPI,2025-11-25,202509,202506,76,104.3,127.4,False,-4.7,5.9,0.52,0.06,1326.3,47.77,2170.4,0.12,상승추세,1474.9,1.72,-0.38,87.0,0.52,1,0.0,56.6,41112,4,53
123890,한국자산신탁,KOSPI,2025-11-25,202509,202506,26,2190.9,5.3,True,-36.9,4.9,0.27,33.23,2924.7,54.34,-2661.7,-1.29,상승추세,1474.9,2.16,-3.93,81.2,0.62,1,0.0,14.0,642,1,24
003530,한화투자증권,KOSPI,2025-04-09,202412,202409,68,-66.7,122.4,False,116.1,16.8,0.31,0.25,6329.2,46.13,-4252.0,0.0,하락추세,1486.1,7.64,0.61,69.0,0.72,24,17.9,None,66121,2,63
067160,SOOP,KOSDAQ,2026-05-15,202603,202512,11,None,10.4,False,None,5.9,1.2,1.3,6046.2,25.79,10562.7,0.0,중립,1493.3,28.25,-6.1,55.1,1.21,18,12.7,None,582,8,30
